Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Length,Nuc_Completeness,Geo_Location,Region,Host,Isolation_Source,Collection_Date,GenBank_Title
OQ427004.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,31/08/2017,"Dengue virus type 4 isolate DET-P-0088-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427005.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,11/08/2017,"Dengue virus type 4 isolate DET-P-0092-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427006.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,13/09/2017,"Dengue virus type 4 isolate DET-P-0093-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427007.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,21/09/2017,"Dengue virus type 4 isolate DET-P-0095-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427008.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,18/12/2017,"Dengue virus type 4 isolate DET-P-0131-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427009.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,29/12/2017,"Dengue virus type 4 isolate DET-P-0136-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427010.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,08/01/2018,"Dengue virus type 4 isolate DET-P-0141-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427011.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,16/01/2018,"Dengue virus type 4 isolate DET-P-0146-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427012.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,01/03/2018,"Dengue virus type 4 isolate DET-P-0150-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427013.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,09/03/2018,"Dengue virus type 4 isolate DET-P-0153-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427014.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,25/05/2018,"Dengue virus type 4 isolate DET-P-0166-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427015.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,10/06/2018,"Dengue virus type 4 isolate DET-P-0168-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427016.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,22/06/2018,"Dengue virus type 4 isolate DET-P-0169-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427017.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,01/07/2018,"Dengue virus type 4 isolate DET-P-0170-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427018.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,03/07/2018,"Dengue virus type 4 isolate DET-P-0171-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427019.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,26/07/2018,"Dengue virus type 4 isolate DET-P-0176-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427020.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,23/08/2018,"Dengue virus type 4 isolate DET-P-0189-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427021.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,08/09/2018,"Dengue virus type 4 isolate DET-P-0196-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427022.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,22/03/2019,"Dengue virus type 4 isolate DET-P-0483-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427023.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,15/10/2018,"Dengue virus type 4 isolate DEN-P-0992-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427024.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,26/10/2018,"Dengue virus type 4 isolate DEN-P-1018-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427025.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,30/10/2018,"Dengue virus type 4 isolate DEN-P-1031-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427026.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,05/11/2018,"Dengue virus type 4 isolate DEN-P-1065-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427027.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,13/11/2018,"Dengue virus type 4 isolate DEN-P-1093-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427028.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,16/11/2018,"Dengue virus type 4 isolate DEN-P-1120-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427029.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,19/11/2018,"Dengue virus type 4 isolate DEN-P-1125-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427030.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,20/11/2018,"Dengue virus type 4 isolate DEN-P-1133-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427031.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,21/11/2018,"Dengue virus type 4 isolate DEN-P-1145-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427032.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,30/11/2018,"Dengue virus type 4 isolate DEN-P-1194-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427033.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,12/12/2018,"Dengue virus type 4 isolate DEN-P-1279-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427034.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,18/12/2018,"Dengue virus type 4 isolate DEN-P-1313-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427035.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,18/12/2018,"Dengue virus type 4 isolate DEN-P-1316-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427036.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,20/12/2018,"Dengue virus type 4 isolate DEN-P-1335-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427037.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,21/12/2018,"Dengue virus type 4 isolate DEN-P-1339-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427038.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,21/12/2018,"Dengue virus type 4 isolate DEN-P-1343-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427039.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,03/01/2019,"Dengue virus type 4 isolate DEN-P-1391-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427040.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,04/01/2019,"Dengue virus type 4 isolate DEN-P-1397-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427041.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,07/01/2019,"Dengue virus type 4 isolate DEN-P-1405-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427042.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,08/01/2019,"Dengue virus type 4 isolate DEN-P-1419-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427043.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,10/01/2019,"Dengue virus type 4 isolate DEN-P-1431-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
OQ427044.1,dengue virus type 4,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.","LSHTM, Infection Biology",United Kingdom,18/02/2023,10593,partial,Viet Nam: Nha Trang,Central ,Homo sapiens,blood,11/01/2019,"Dengue virus type 4 isolate DEN-P-1449-1 polyprotein (POLY) gene, complete cds; and sfRNA2 lncRNA gene, partial sequence"
