Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
OR029957.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191035,Orthoflavivirus denguei,10669,China,Guangdong,15/08/2019
OR029958.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191037,Orthoflavivirus denguei,10668,China,Guangdong,15/08/2019
OR029959.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191039,Orthoflavivirus denguei,10668,China,Guangdong,15/08/2019
OR029960.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191040,Orthoflavivirus denguei,10669,China,Guangdong,15/08/2019
OR029961.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191042,Orthoflavivirus denguei,10652,China,Guangdong,15/08/2019
OR029962.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191043,Orthoflavivirus denguei,10668,China,Guangdong,15/08/2019
OR029963.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191044,Orthoflavivirus denguei,10667,China,Guangdong,15/08/2019
OR029964.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191060,Orthoflavivirus denguei,10669,China,Guangdong,16/08/2019
OR029965.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191080,Orthoflavivirus denguei,10659,China,Guangdong,17/08/2019
OR029966.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19418,Orthoflavivirus denguei,10668,China,Guangdong,01/08/2019
OR029967.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19425,Orthoflavivirus denguei,10668,China,Guangdong,02/08/2019
OR029968.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19435,Orthoflavivirus denguei,10669,China,Guangdong,03/08/2019
OR029969.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19768,Orthoflavivirus denguei,10668,China,Guangdong,12/08/2019
OR029970.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19772,Orthoflavivirus denguei,10667,China,Guangdong,12/08/2019
OQ976889.1,dengue virus type 3,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,18/05/2023,RL-17,Orthoflavivirus denguei,1571,China: Yunnan Province,Yunnan,2019-09
OQ976890.1,dengue virus type 3,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,18/05/2023,RL-01,Orthoflavivirus denguei,1571,China: Yunnan Province,Yunnan,2019-09
OQ976892.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,18/05/2023,Mengding1020,Orthoflavivirus denguei,1043,China: Yunnan Province,Yunnan,2019-09
OQ976893.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,18/05/2023,Mengding1410,Orthoflavivirus denguei,1043,China: Yunnan Province,Yunnan,2019-09
OQ976894.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,18/05/2023,Mengding1502,Orthoflavivirus denguei,1043,China: Yunnan Province,Yunnan,2019-09
OQ976895.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,18/05/2023,Mengding1561,Orthoflavivirus denguei,1043,China: Yunnan Province,Yunnan,2019-09
OQ927185.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,MD-1869,Orthoflavivirus denguei,1061,China: Yunnan Province,Yunnan,2019-09
OQ927186.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,MD-2020,Orthoflavivirus denguei,1061,China: Yunnan Province,Yunnan,2019-09
OQ927220.1,dengue virus type 3,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,MD-723,Orthoflavivirus denguei,1571,China: Yunnan Province,Yunnan,2019-09
OQ927221.1,dengue virus type 3,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,MD-374,Orthoflavivirus denguei,1571,China: Yunnan Province,Yunnan,2019-09
OQ927222.1,dengue virus type 3,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,MD-369,Orthoflavivirus denguei,1571,China: Yunnan Province,Yunnan,2019-09
OQ927223.1,dengue virus type 3,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,RL-04,Orthoflavivirus denguei,1571,China: Yunnan Province,Yunnan,2019-09
OQ927224.1,dengue virus type 3,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,JH-58,Orthoflavivirus denguei,1571,China: Yunnan Province,Yunnan,2019-09
OQ928145.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,ML-18,Orthoflavivirus denguei,1597,China: Yunnan Province,Yunnan,2019-09
OQ928146.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,ML-12,Orthoflavivirus denguei,1597,China: Yunnan Province,Yunnan,2019-09
OQ928147.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,ML-10,Orthoflavivirus denguei,1597,China: Yunnan Province,Yunnan,2019-09
OQ928148.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,JH-09,Orthoflavivirus denguei,1597,China: Yunnan Province,Yunnan,2019-09
OQ928149.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,JH-01,Orthoflavivirus denguei,1597,China: Yunnan Province,Yunnan,2019-09
OQ928150.1,dengue virus type 2,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,10/05/2023,RL-19,Orthoflavivirus denguei,1597,China: Yunnan Province,Yunnan,2019-09
OQ788104.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,15/04/2023,RL-13,Orthoflavivirus denguei,1569,China: Yunnan Province,Yunnan,2019-09
OQ788105.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,15/04/2023,RL-05,Orthoflavivirus denguei,1569,China: Yunnan Province,Yunnan,2019-09
OQ788106.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,15/04/2023,ML-19,Orthoflavivirus denguei,1569,China: Yunnan Province,Yunnan,2019-09
OQ788107.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,15/04/2023,ML-17,Orthoflavivirus denguei,1569,China: Yunnan Province,Yunnan,2019-09
OQ788108.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,15/04/2023,ML-03,Orthoflavivirus denguei,1569,China: Yunnan Province,Yunnan,2019-09
OQ788109.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,15/04/2023,JH-11,Orthoflavivirus denguei,1569,China: Yunnan Province,Yunnan,2019-09
OQ781168.1,dengue virus type 1,"Zhou,Y., Liyang,S., Wang,P., An,J., Liu,H.","Institute of Medical Biotechnology, Chinese Academic of Medical Sciences&Peking Union Medical Colleg, Department of Infection&immunity",China,14/04/2023,801,Orthoflavivirus denguei,1558,China,Yunnan,2019-09
OM250374.1,dengue virus type 1,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,324,Orthoflavivirus denguei,1485,China,Yunnan,11/07/2017
OM250375.1,dengue virus type 1,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,251,Orthoflavivirus denguei,1485,China,Yunnan,11/07/2017
OM250376.1,dengue virus type 1,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,336,Orthoflavivirus denguei,1485,China,Yunnan,11/07/2017
OM250377.1,dengue virus type 1,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,75,Orthoflavivirus denguei,1485,China,Yunnan,12/08/2018
OM250378.1,dengue virus type 1,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,33,Orthoflavivirus denguei,1485,China,Yunnan,12/08/2018
OM250379.1,dengue virus type 2,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,117,Orthoflavivirus denguei,1485,China,Yunnan,22/07/2017
OM250380.1,dengue virus type 2,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,11,Orthoflavivirus denguei,1485,China,Yunnan,22/07/2017
OM250381.1,dengue virus type 2,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,20,Orthoflavivirus denguei,1485,China,Yunnan,22/07/2017
OM250382.1,dengue virus type 2,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,197,Orthoflavivirus denguei,1485,China,Yunnan,22/08/2018
OM250383.1,dengue virus type 2,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,2,Orthoflavivirus denguei,1485,China,Yunnan,22/08/2018
OM250394.1,dengue virus type 1,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,RL,Orthoflavivirus denguei,10735,China,Yunnan,22/07/2017
OM256481.1,dengue virus type 2,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,ML,Orthoflavivirus denguei,10723,China,Yunnan,22/07/2017
OM257419.1,dengue virus type 2,"Liu,Y.","university wenzhou, Institute of Virology",China,01/04/2023,17,Orthoflavivirus denguei,10713,China,Yunnan,22/07/2017
OQ652963.1,dengue virus type 1,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV1_YN_RL,Orthoflavivirus denguei,10735,China,Yunnan,2018-09
OQ652964.1,dengue virus type 2,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV2_YN_MH,Orthoflavivirus denguei,10723,China,Yunnan,2018-09
OQ652967.1,dengue virus type 1,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV1_YN_251,Orthoflavivirus denguei,1485,China,Yunnan,2017-09
OQ652968.1,dengue virus type 1,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV1_YN_336,Orthoflavivirus denguei,1485,China,Yunnan,2017-09
OQ652969.1,dengue virus type 1,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV1_YN_075,Orthoflavivirus denguei,1485,China,Yunnan,2017-09
OQ652970.1,dengue virus type 1,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV1_YN_033,Orthoflavivirus denguei,1485,China,Yunnan,2017-09
OQ652972.1,dengue virus type 2,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV2_YN_011,Orthoflavivirus denguei,1485,China,Yunnan,2017-09
OQ652973.1,dengue virus type 2,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV2_YN_020,Orthoflavivirus denguei,1485,China,Yunnan,2018-09
OQ652974.1,dengue virus type 2,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV2_YN_197,Orthoflavivirus denguei,1485,China,Yunnan,2018-09
OQ652975.1,dengue virus type 2,"Liang,C.","Jilin Medical University, College of Laboratory",China,24/03/2023,DENV2_YN_002,Orthoflavivirus denguei,1485,China,Yunnan,2018-09
OQ653841.1,dengue virus type 2,"Li,D.X., Li,Y.","Center for Disease Control and Prevention of Henan Province, Henan Provincal Key Laboratory of Infectious Pathogenic Microorganisms",China,24/03/2023,vero,Orthoflavivirus denguei,10571,China: Zhengzhou,Zhengzhou,22/07/2022
OM281570.1,dengue virus type 1,"Wang,W.","Shanghai Municipal Center for Disease Control and Prevention, Pathogen Testing Center",China,31/12/2022,038/SH/2018,Orthoflavivirus denguei,10735,China: Shanghai,Shanghai,2018-12
OM281571.1,dengue virus type 1,"Wang,W.","Shanghai Municipal Center for Disease Control and Prevention, Pathogen Testing Center",China,31/12/2022,042/SH/2018,Orthoflavivirus denguei,10734,China: Shanghai,Shanghai,2018-12
OM281573.1,dengue virus type 1,"Wang,W.","Shanghai Municipal Center for Disease Control and Prevention, Pathogen Testing Center",China,31/12/2022,045/SH/2018,Orthoflavivirus denguei,10734,China: Shanghai,Shanghai,2018-12
OM281594.1,dengue virus type 1,"Wang,W.","Shanghai Municipal Center for Disease Control and Prevention, Pathogen Testing Center",China,31/12/2022,123/SH/2019,Orthoflavivirus denguei,10735,China: Guangdong province,Guangdong,2019-12
OP678008.1,dengue virus type 1,"Yang,F.","Shenzhen Center for Disease Control and Prevention, Institution of Pathogen Biology",China,24/10/2022,D1/19YS00077/Shenzhen/2019,Orthoflavivirus denguei,1485,China,Guangdong,04/07/2019
OP678009.1,dengue virus type 2,"Yang,F.","Shenzhen Center for Disease Control and Prevention, Institution of Pathogen Biology",China,24/10/2022,D2/19YS00077/Shenzhen/2019,Orthoflavivirus denguei,1485,China,Guangdong,04/07/2019
OP684143.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1003/2017,Orthoflavivirus denguei,10176,China,Zhejiang,12/09/2017
OP684144.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1312/2017,Orthoflavivirus denguei,10176,China,Zhejiang,18/09/2017
OP684145.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1358/2017,Orthoflavivirus denguei,10176,China,Zhejiang,20/09/2017
OP684146.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1431/2017,Orthoflavivirus denguei,10176,China,Zhejiang,23/09/2017
OP684147.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1450/2017,Orthoflavivirus denguei,10176,China,Zhejiang,19/09/2017
OP684148.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1469/2017,Orthoflavivirus denguei,10176,China,Zhejiang,21/09/2017
OP684149.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1535/2017,Orthoflavivirus denguei,10176,China,Zhejiang,26/09/2017
OP684150.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1536/2017,Orthoflavivirus denguei,10176,China,Zhejiang,27/09/2017
OP684151.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-1560/2017,Orthoflavivirus denguei,10176,China,Zhejiang,26/09/2017
OP684152.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-17/2017,Orthoflavivirus denguei,10176,China,Zhejiang,02/07/2017
OP684153.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-244/2017,Orthoflavivirus denguei,10176,China,Zhejiang,29/08/2017
OP684154.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-263/2017,Orthoflavivirus denguei,10176,China,Zhejiang,28/08/2017
OP684155.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-265/2017,Orthoflavivirus denguei,10176,China,Zhejiang,28/08/2017
OP684156.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-30/2017,Orthoflavivirus denguei,10176,China,Zhejiang,22/08/2017
OP684157.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-316/2017,Orthoflavivirus denguei,10176,China,Zhejiang,30/08/2017
OP684158.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-333/2017,Orthoflavivirus denguei,10176,China,Zhejiang,29/08/2017
OP684159.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-406-1/2017,Orthoflavivirus denguei,10176,China,Zhejiang,31/08/2017
OP684160.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-414/2017,Orthoflavivirus denguei,10176,China,Zhejiang,30/08/2017
OP684161.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-436/2017,Orthoflavivirus denguei,10176,China,Zhejiang,31/08/2017
OP684162.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-439/2017,Orthoflavivirus denguei,10176,China,Zhejiang,31/08/2017
OP684163.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-455/2017,Orthoflavivirus denguei,10176,China,Zhejiang,29/08/2017
OP684164.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-456/2017,Orthoflavivirus denguei,10176,China,Zhejiang,29/08/2017
OP684165.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-505/2017,Orthoflavivirus denguei,10176,China,Zhejiang,01/09/2017
OP684166.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-510/2017,Orthoflavivirus denguei,10176,China,Zhejiang,02/09/2017
OP684167.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-511/2017,Orthoflavivirus denguei,10176,China,Zhejiang,02/09/2017
OP684168.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-545/2017,Orthoflavivirus denguei,10176,China,Zhejiang,03/09/2017
OP684169.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-594/2017,Orthoflavivirus denguei,10176,China,Zhejiang,03/09/2017
OP684170.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-666/2017,Orthoflavivirus denguei,10176,China,Zhejiang,05/09/2017
OP684171.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-67/2017,Orthoflavivirus denguei,10176,China,Zhejiang,24/08/2017
OP684172.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-699/2017,Orthoflavivirus denguei,10176,China,Zhejiang,06/09/2017
OP684173.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ-715/2017,Orthoflavivirus denguei,10176,China,Zhejiang,05/09/2017
OP684174.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-719/2017,Orthoflavivirus denguei,10176,China,Zhejiang,05/09/2017
OP684175.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-720/2017,Orthoflavivirus denguei,10176,China,Zhejiang,05/09/2017
OP684176.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-736/2017,Orthoflavivirus denguei,10176,China,Zhejiang,05/09/2017
OP684177.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-848/2017,Orthoflavivirus denguei,10176,China,Zhejiang,07/09/2017
OP684178.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-951/2017,Orthoflavivirus denguei,10176,China,Zhejiang,11/09/2017
OP684179.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ17-996/2017,Orthoflavivirus denguei,10176,China,Zhejiang,12/09/2017
OP684180.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-125/2018,Orthoflavivirus denguei,10658,China,Zhejiang,02/07/2018
OP684181.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-126/2018,Orthoflavivirus denguei,10658,China,Zhejiang,03/07/2018
OP684182.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-216/2018,Orthoflavivirus denguei,10679,China,Zhejiang,01/08/2018
OP684183.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-25/2018,Orthoflavivirus denguei,10658,China,Zhejiang,27/05/2018
OP684184.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-316/2018,Orthoflavivirus denguei,10658,China,Zhejiang,03/09/2018
OP684185.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-319/2018,Orthoflavivirus denguei,10658,China,Zhejiang,04/09/2018
OP684186.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-31/2018,Orthoflavivirus denguei,10658,China,Zhejiang,28/05/2018
OP684187.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-326/2018,Orthoflavivirus denguei,10658,China,Zhejiang,07/09/2018
OP684188.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-368/2018,Orthoflavivirus denguei,10658,China,Zhejiang,20/09/2018
OP684189.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-377/2018,Orthoflavivirus denguei,10658,China,Zhejiang,30/09/2018
OP684190.1,dengue virus type 2,"Yu,H.","Hangzhou Center for Disease Control and Prevention, Microbiology Detection",China,24/10/2022,DENV-2/CN/HZ18-524/2018,Orthoflavivirus denguei,10659,China,Zhejiang,04/11/2018
